# shelf	signal	detail   (triage_09.py; feed: next_batch.py --s2-file)
S6752	c	item 44572 judged #123-136 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44573 judged #137-146 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44566 judged #41-54 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44567 judged #55-67 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44568 judged #68-80 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44569 judged #81-94 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44564 judged #14-27 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44565 judged #28-40 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44584 judged #226-235 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44585 judged #236-245 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44578 judged #171-179 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44579 judged #180-188 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44580 judged #189-197 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44581 judged #198-206 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44582 judged #207-215 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44583 judged #216-225 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44576 judged #153-161 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	c	item 44577 judged #162-170 does not fit the S run (cv - count -, gcd 173337 count 18)
S6752	e	26 files
S6861	a-C	gcd 5009 named by 1 C line(s) on books of S103695
S6873	b	1/1 per-file CV links name another volume (121749x1)
S6978	c	item 44619 judged #13-18 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44620 judged #19-24 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44621 judged #25-31 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44622 judged #32-38 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44623 judged #39-45 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44624 judged #46-52 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44625 judged #53-59 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44626 judged #60-66 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44627 judged #67-73 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6978	c	item 44628 judged #74-82 does not fit the S run (cv 50829 count 12, gcd 140872 count 12)
S6982	f	1 shelf/shelves merged in after the wave that landed R-026 (2026-09-17): S6983
S7004	e	36 files
S7025	c	item 36519 judged #1-6 does not fit the S run (cv 139129 count 5, gcd 176413 count 5)
S7042	f	1 shelf/shelves merged in after the wave that landed R-082 (2026-09-23): S103873
S7053	b	1/1 per-file CV links name another volume (131304x1)
S7085	c	item 43401 judged #18-27 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43410 judged #106-115 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43404 judged #47-55 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43405 judged #56-65 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43406 judged #66-75 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43407 judged #76-85 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43408 judged #86-95 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43409 judged #96-105 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43402 judged #28-36 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	c	item 43403 judged #37-46 does not fit the S run (cv 85810 count 20, gcd - count -)
S7085	e	92 files
S7094	c	item 32221 judged #251-255 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32222 judged #256-260 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32223 judged #261-265 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32224 judged #266-275 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32218 judged #241-245 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32219 judged #246-250 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32216 judged #231-235 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32217 judged #236-240 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32213 judged #219-221 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32214 judged #222-225 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32215 judged #226-230 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32210 judged #206-210 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32211 judged #211-215 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	c	item 32212 judged #216-218 does not fit the S run (cv 3138 count 155, gcd - count -)
S7094	e	79 files
S7097	d	label-ambiguous item 36563
S7108	b	13/13 per-file CV links name another volume (55158x13)
S7108	d	label-ambiguous item 32088
S7138	b	23/28 per-file CV links name another volume (3138x22, 159935x1)
S7138	e	28 files
S7148	c	item 41477 judged #33-41 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41478 judged #42-50 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41479 judged #51-59 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41480 judged #60-68 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41481 judged #69-77 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41482 judged #78-86 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41483 judged #87-92 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41484 judged #93-97 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41485 judged #98-106 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41486 judged #107-114 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41487 judged #115-123 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41488 judged #124-132 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41489 judged #133-141 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41490 judged #142-150 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41491 judged #151-157 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41492 judged #158-164 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41493 judged #165-172 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41494 judged #173-181 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41495 judged #182-188 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41496 judged #189-195 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41497 judged #196-200 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	c	item 41476 judged #24-32 does not fit the S run (cv 32732 count 25, gcd 20226 count 25)
S7148	e	25 files
S7151	a-S	gcd 54528 is also the S of S21563
S7177	b	1/1 per-file CV links name another volume (120686x1)
S7289	d	label-ambiguous item 105999
S7309	e	21 files
S7339	e	156 files
S7350	a-S	gcd 174151 is also the S of S7351
S7350	a-S	gcd 174151 is also the S of S7352
S7351	a-S	gcd 174151 is also the S of S7350
S7351	a-S	gcd 174151 is also the S of S7352
S7352	a-S	gcd 174151 is also the S of S7350
S7352	a-S	gcd 174151 is also the S of S7351
S7361	b	1/1 per-file CV links name another volume (54977x1)
S7417	b	6/6 per-file CV links name another volume (70051x6)
S7465	b	3/3 per-file CV links name another volume (111468x3)
S7474	e	25 files
S7479	b	2/2 per-file CV links name another volume (86353x2)
S7501	b	4/4 per-file CV links name another volume (159168x4)
S7502	b	4/4 per-file CV links name another volume (2503x4)
S7511	c	item 44649 judged #68-77 does not fit the S run (cv 44126 count 69, gcd 84559 count 68)
S7511	c	item 44651 judged #88-97 does not fit the S run (cv 44126 count 69, gcd 84559 count 68)
S7511	c	item 44652 judged #98-107 does not fit the S run (cv 44126 count 69, gcd 84559 count 68)
S7511	c	item 44653 judged #108-117 does not fit the S run (cv 44126 count 69, gcd 84559 count 68)
S7511	c	item 44654 judged #118-127 does not fit the S run (cv 44126 count 69, gcd 84559 count 68)
S7511	c	item 44655 judged #128-137 does not fit the S run (cv 44126 count 69, gcd 84559 count 68)
S7511	c	item 44650 judged #78-87 does not fit the S run (cv 44126 count 69, gcd 84559 count 68)
S7542	a-C	cv 2763 named by 1 C line(s) on books of S103837
S7624	b	1/1 per-file CV links name another volume (112314x1)
S7626	d	duplicate-edition item 32688
S7651	d	span-retracted item 30672
S7651	e	26 files
S7662	a-C	gcd 75120 named by 5 C line(s) on books of S7663
S7663	a-I	gcd 80271 named by 1 I line(s) on books of S7662
S7696	b	1/1 per-file CV links name another volume (122045x1)
S7700	b	39/39 per-file CV links name another volume (18720x39)
S7700	e	55 files
S7764	c	item 43429 judged #13-14 does not fit the S run (cv 38809 count 13, gcd 16635 count 13)
S7764	c	item 43435 judged #25-26 does not fit the S run (cv 38809 count 13, gcd 16635 count 13)
S7764	c	item 43430 judged #15-16 does not fit the S run (cv 38809 count 13, gcd 16635 count 13)
S7764	c	item 43431 judged #17-18 does not fit the S run (cv 38809 count 13, gcd 16635 count 13)
S7764	c	item 43432 judged #19-20 does not fit the S run (cv 38809 count 13, gcd 16635 count 13)
S7764	c	item 43433 judged #21-22 does not fit the S run (cv 38809 count 13, gcd 16635 count 13)
S7764	c	item 43434 judged #23-24 does not fit the S run (cv 38809 count 13, gcd 16635 count 13)
S7767	b	1/1 per-file CV links name another volume (136297x1)
S7810	b	2/2 per-file CV links name another volume (103516x2)
S7830	d	label-ambiguous item 27932
S7834	a-S	gcd 42860 is also the S of S7836
S7836	a-S	gcd 42860 is also the S of S7834
S7842	e	21 files
S7857	c	item 44794 judged #1-8 does not fit the S run (cv 169702 count 1, gcd 215995 count 7)
S7857	c	item 44795 judged #9-17 does not fit the S run (cv 169702 count 1, gcd 215995 count 7)
S7917	f	1 shelf/shelves merged in after the wave that landed R-051 (2026-09-23): S103790
S7918	b	2/2 per-file CV links name another volume (84425x2)
S7930	a-I	cv 42805 named by 1 I line(s) on books of S64826
S8013	d	label-ambiguous item 115945
S8045	b	6/6 per-file CV links name another volume (52442x6)
S8085	b	11/11 per-file CV links name another volume (45398x11)
S8099	b	2/2 per-file CV links name another volume (75347x2)
S8135	a-I	gcd 200285 named by 1 I line(s) on books of S8314
S8138	b	34/40 per-file CV links name another volume (4398x34)
S8138	e	41 files
S8162	b	3/3 per-file CV links name another volume (4398x3)
S8170	e	24 files
S8201	c	item 42089 judged #12-17 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42090 judged #18-22 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42091 judged #23-27 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42092 judged #28-32 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42093 judged #33-37 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42094 judged #38-44 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42095 judged #45-50 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42096 judged #51-58 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42097 judged #59-66 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42098 judged #67-73 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42099 judged #74-82 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42100 judged #83-90 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8201	c	item 42101 judged #91-100 does not fit the S run (cv 106713 count 15, gcd 100027 count 15)
S8278	b	5/5 per-file CV links name another volume (61823x5)
S8317	e	44 files
S8331	d	label-ambiguous item 39989
S8337	e	41 files
S8429	b	5/5 per-file CV links name another volume (36406x5)
S8456	d	label-ambiguous item 97041
S8476	b	1/1 per-file CV links name another volume (129992x1)
S8478	d	label-ambiguous item 27687
S8533	b	203/203 per-file CV links name another volume (145310x203)
S8533	d	label-ambiguous item 29595
S8533	e	306 files
S8539	d	label-ambiguous item 110006
S8798	b	1/1 per-file CV links name another volume (90260x1)
S8808	b	2/2 per-file CV links name another volume (122111x2)
S8832	b	43/43 per-file CV links name another volume (76016x43)
S8832	e	44 files
S8869	c	item 43508 judged #5-8 does not fit the S run (cv 130311 count 4, gcd - count -)
S8869	c	item 43509 judged #9-12 does not fit the S run (cv 130311 count 4, gcd - count -)
S8869	c	item 43510 judged #13-16 does not fit the S run (cv 130311 count 4, gcd - count -)
S8877	d	label-ambiguous item 10059
S8885	c	item 43511 judged #1-7 does not fit the S run (cv 125268 count 3, gcd - count -)
S8885	c	item 43512 judged #8-14 does not fit the S run (cv 125268 count 3, gcd - count -)
S8885	c	item 43513 judged #15-18 does not fit the S run (cv 125268 count 3, gcd - count -)
S8903	a-C	cv 113073 named by 1 C line(s) on books of S8902
S8903	a-C	gcd 140647 named by 1 C line(s) on books of S8902
S8903	a-I	gcd 140647 named by 1 I line(s) on books of S8902
S8929	a-I	gcd 5510 named by 1 I line(s) on books of S22647
S8942	b	1/1 per-file CV links name another volume (123317x1)
S8943	b	1/1 per-file CV links name another volume (128569x1)
S8946	b	1/1 per-file CV links name another volume (135875x1)
S9026	e	165 files
S9027	d	label-ambiguous item 112772
S9027	e	44 files
S9065	b	1/1 per-file CV links name another volume (78507x1)
S9076	a-C	cv 4793 named by 1 C line(s) on books of S9069
S9076	a-C	gcd 4456 named by 1 C line(s) on books of S9069
S9083	a-I	cv 35538 named by 1 I line(s) on books of S94719
S9083	a-I	gcd 32708 named by 1 I line(s) on books of S94719
S9190	e	23 files
S9225	c	item 44856 judged #1-10 does not fit the S run (cv 116471 count 1, gcd - count -)
S9229	e	22 files
S9236	c	item 42615 judged #5-8 does not fit the S run (cv 106014 count 5, gcd - count -)
S9282	b	12/12 per-file CV links name another volume (107806x12)
S9289	a-S	gcd 103474 is also the S of S97739
S9305	b	2/2 per-file CV links name another volume (18206x2)
S9308	e	68 files
S9319	b	1/1 per-file CV links name another volume (81242x1)
S9370	d	label-ambiguous item 116974
S9377	a-I	cv 34944 named by 1 I line(s) on books of S94860
S9385	a-S	gcd 87446 is also the S of S9386
S9385	a-S	gcd 87446 is also the S of S9387
S9385	a-S	gcd 87446 is also the S of S9388
S9385	a-S	gcd 87446 is also the S of S9389
S9385	a-S	gcd 87446 is also the S of S9390
S9385	a-S	gcd 87446 is also the S of S9391
S9385	a-S	gcd 87446 is also the S of S9392
S9385	a-S	gcd 87446 is also the S of S9393
S9386	a-S	gcd 87446 is also the S of S9385
S9386	a-S	gcd 87446 is also the S of S9388
S9386	a-S	gcd 87446 is also the S of S9389
S9386	a-S	gcd 87446 is also the S of S9390
S9386	a-S	gcd 87446 is also the S of S9391
S9386	a-S	gcd 87446 is also the S of S9392
S9387	a-S	gcd 87446 is also the S of S9385
S9387	a-S	gcd 87446 is also the S of S9389
S9387	a-S	gcd 87446 is also the S of S9390
S9387	a-S	gcd 87446 is also the S of S9391
S9387	a-S	gcd 87446 is also the S of S9392
S9387	a-S	gcd 87446 is also the S of S9393
S9388	a-S	gcd 87446 is also the S of S9385
S9388	a-S	gcd 87446 is also the S of S9386
S9388	a-S	gcd 87446 is also the S of S9390
S9388	a-S	gcd 87446 is also the S of S9391
S9388	a-S	gcd 87446 is also the S of S9392
S9388	a-S	gcd 87446 is also the S of S9393
S9389	a-S	gcd 87446 is also the S of S9385
S9389	a-S	gcd 87446 is also the S of S9386
S9389	a-S	gcd 87446 is also the S of S9387
S9389	a-S	gcd 87446 is also the S of S9391
S9389	a-S	gcd 87446 is also the S of S9392
S9389	a-S	gcd 87446 is also the S of S9393
S9390	a-S	gcd 87446 is also the S of S9385
S9390	a-S	gcd 87446 is also the S of S9386
S9390	a-S	gcd 87446 is also the S of S9387
S9390	a-S	gcd 87446 is also the S of S9388
S9390	a-S	gcd 87446 is also the S of S9392
S9390	a-S	gcd 87446 is also the S of S9393
S9391	a-S	gcd 87446 is also the S of S9385
S9391	a-S	gcd 87446 is also the S of S9386
S9391	a-S	gcd 87446 is also the S of S9387
S9391	a-S	gcd 87446 is also the S of S9388
S9391	a-S	gcd 87446 is also the S of S9389
S9391	a-S	gcd 87446 is also the S of S9393
S9392	a-S	gcd 87446 is also the S of S9385
S9392	a-S	gcd 87446 is also the S of S9386
S9392	a-S	gcd 87446 is also the S of S9387
S9392	a-S	gcd 87446 is also the S of S9388
S9392	a-S	gcd 87446 is also the S of S9389
S9392	a-S	gcd 87446 is also the S of S9390
S9393	a-S	gcd 87446 is also the S of S9385
S9393	a-S	gcd 87446 is also the S of S9387
S9393	a-S	gcd 87446 is also the S of S9388
S9393	a-S	gcd 87446 is also the S of S9389
S9393	a-S	gcd 87446 is also the S of S9390
S9393	a-S	gcd 87446 is also the S of S9391
S9401	e	23 files
S9405	b	1/1 per-file CV links name another volume (117210x1)
S9421	b	4/4 per-file CV links name another volume (51230x4)
S9434	b	7/7 per-file CV links name another volume (134140x7)
S9439	a-C	cv 66319 named by 4 C line(s) on books of S64201
S9439	a-C	gcd 75977 named by 4 C line(s) on books of S64201
S9439	d	arithmetic-odd item 117741
S9460	d	label-ambiguous item 117830
S9475	e	81 files
S9480	e	39 files
S9480	f	1 shelf/shelves merged in after the wave that landed R-038 (2026-09-23): S103137
S9489	e	24 files
S9497	c	item 43594 judged #32-64 does not fit the S run (cv 82453 count 9, gcd 121290 count 9)
S9497	c	item 43595 judged #65-99 does not fit the S run (cv 82453 count 9, gcd 121290 count 9)
S9497	c	item 43593 judged #1-31 does not fit the S run (cv 82453 count 9, gcd 121290 count 9)
S9504	d	label-ambiguous item 4460
S9507	b	1/1 per-file CV links name another volume (119854x1)
S9520	c	item 46071 judged #519-558 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46067 judged #389-418 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46068 judged #419-448 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46069 judged #449-478 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46070 judged #479-518 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46063 judged #269-298 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46064 judged #299-328 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46065 judged #329-358 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46066 judged #359-388 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46059 judged #149-178 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46060 judged #179-208 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46061 judged #209-238 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46062 judged #239-268 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46055 judged #29-58 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46056 judged #59-88 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46057 judged #89-118 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46058 judged #119-148 does not fit the S run (cv 47016 count 18, gcd - count -)
S9520	c	item 46054 judged #1-28 does not fit the S run (cv 47016 count 18, gcd - count -)
S9536	a-C	cv 17993 named by 1 C line(s) on books of S102519
S9536	a-C	gcd 17010 named by 1 C line(s) on books of S102519
S9536	b	26/26 per-file CV links name another volume (39340x26)
S9536	e	26 files
S9539	e	58 files
S9565	a-I	cv 83138 named by 1 I line(s) on books of S102965
S9565	a-I	gcd 86055 named by 1 I line(s) on books of S102965
S9575	b	14/14 per-file CV links name another volume (150441x14)
S9583	b	12/12 per-file CV links name another volume (36926x9, 150441x3)
S9583	f	1 shelf/shelves merged in after the wave that landed R-048 (2026-09-23): S103705
S9608	a-I	cv 136475 named by 1 I line(s) on books of S97889
S9608	a-I	gcd 173292 named by 1 I line(s) on books of S97889
S9634	b	1/1 per-file CV links name another volume (49505x1)
S9644	b	1/1 per-file CV links name another volume (48746x1)
S9656	c	item 39907 judged #6-10 does not fit the S run (cv 112427 count 6, gcd - count -)
S9656	c	item 39911 judged #26-30 does not fit the S run (cv 112427 count 6, gcd - count -)
S9656	c	item 39908 judged #11-15 does not fit the S run (cv 112427 count 6, gcd - count -)
S9656	c	item 39909 judged #16-20 does not fit the S run (cv 112427 count 6, gcd - count -)
S9656	c	item 39910 judged #21-25 does not fit the S run (cv 112427 count 6, gcd - count -)
S9680	e	42 files
S9704	d	label-ambiguous item 16933
S9704	e	95 files
S9770	b	6/6 per-file CV links name another volume (91536x4, 85766x2)
S9770	f	1 shelf/shelves merged in after the wave that landed R-037 (2026-09-23): S102968
S9889	b	1/1 per-file CV links name another volume (61021x1)
S9929	e	22 files
S9953	e	21 files
S9971	b	1/1 per-file CV links name another volume (72930x1)
S9974	b	3/3 per-file CV links name another volume (138233x3)
S9984	a-C	cv 1497 named by 2 C line(s) on books of S103607
S9984	a-C	gcd 896 named by 2 C line(s) on books of S103607
S9984	d	label-ambiguous item 117514
S9984	e	102 files
S10010	b	1/1 per-file CV links name another volume (147187x1)
S10056	b	3/3 per-file CV links name another volume (151274x3)
S10056	c	item 44894 judged #26-34 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44912 judged #191-199 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44909 judged #162-171 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44910 judged #172-180 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44911 judged #181-190 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44904 judged #116-124 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44905 judged #125-133 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44906 judged #134-142 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44907 judged #143-152 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44908 judged #153-161 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44898 judged #62-70 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44899 judged #71-79 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44900 judged #80-88 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44901 judged #89-97 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44902 judged #98-106 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44903 judged #107-115 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44895 judged #35-43 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44896 judged #44-52 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	c	item 44897 judged #53-61 does not fit the S run (cv 123211 count 29, gcd 153402 count 31)
S10056	e	27 files
S10102	b	7/7 per-file CV links name another volume (42479x6, 120558x1)
S10105	a-C	cv 42488 named by 1 C line(s) on books of S15489
S10105	a-C	gcd 60709 named by 1 C line(s) on books of S15489
S10105	e	99 files
S10116	b	1/1 per-file CV links name another volume (87803x1)
S10125	e	27 files
S10137	b	14/14 per-file CV links name another volume (3798x14)
S10146	e	58 files
S10188	b	1/1 per-file CV links name another volume (114892x1)
S10252	e	22 files
S10265	b	2/2 per-file CV links name another volume (86775x2)
S10281	c	item 42647 judged #117-126 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42635 judged #9-17 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42642 judged #72-80 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42643 judged #81-89 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42644 judged #90-98 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42645 judged #99-107 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42646 judged #108-116 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42636 judged #18-26 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42637 judged #27-35 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42638 judged #36-44 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42639 judged #45-53 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42640 judged #54-62 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10281	c	item 42641 judged #63-71 does not fit the S run (cv 101754 count 14, gcd 110485 count 14)
S10285	d	label-ambiguous item 42021
S10308	f	1 shelf/shelves merged in after the wave that landed R-042 (2026-09-23): S103314
S10377	b	2/2 per-file CV links name another volume (130996x2)
S10394	b	1/1 per-file CV links name another volume (133197x1)
S10395	e	22 files
S10406	c	item 44940 judged #86-96 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44941 judged #97-107 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44942 judged #108-118 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44943 judged #119-129 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44944 judged #130-140 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44945 judged #141-151 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44946 judged #152-162 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44947 judged #163-173 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44949 judged #185-195 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44950 judged #196-206 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44951 judged #207-217 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44952 judged #218-228 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44953 judged #229-239 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44954 judged #240-250 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44955 judged #251-261 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44956 judged #262-272 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44957 judged #273-283 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44958 judged #284-294 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44959 judged #295-305 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44960 judged #306-316 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
S10406	c	item 44961 judged #317-327 does not fit the S run (cv 74502 count 79, gcd 175348 count 78)
