# shelf	signal	detail   (s2_open.py: every winning 0.7 and R; feed: next_batch.py --s2-file)
S22318	R	D-014: R, F provider-missing
S22417	R	D-014: R, F provider-missing
S22496	07	A-026: S 0.7
S22497	07	A-026: S 0.7
S22585	07	C-062: S 0.7, F provider-missing
S22591	07	A-030: S 0.7
S22594	07	A-030: S 0.7, F provider-missing
S22695	R	D-008: R, F provider-missing
S22743	R	D-012: R, F provider-missing
S22780	07	D-001: S 0.7, F partial-rip
S22794	R	D-019: R, F provider-missing
S22800	R	D-019: R, F provider-missing
S22831	07	D-013: S 0.7, F provider-missing
S22847	07	D-007: S 0.7, F provider-missing
S22902	R	B-008: R, F wrong-cv-link
S22912	R	B-008: R, F wrong-cv-link
S22913	R	D-002: R, F provider-missing
S22933	R	D-005: R, F provider-missing
S22937	07	D-009: S 0.7, F provider-missing
S22938	R	D-009: R, F provider-missing
S22950	R	B-041: R, F needs-web, wrong-cv-link
S22973	07	D-012: S 0.7, F provider-missing
S23599	R	D-012: R, F provider-missing
S23645	R	D-012: R, F mobile-rip, provider-missing
S23720	R	C-035: R, F needs-web
S24055	R	D-016: R, F provider-missing
S34339	R	R-044: R, F provider-missing
S34988	07	B-022: S 0.7
S35496	R	D-010: R, F provider-missing
S35656	07	C-039: S 0.7, F merge-with
S35838	R	D-009: R, F provider-missing
S36404	R	C-012: R
S39477	R	D-013: R, F provider-missing
S41871	R	C-050: R, F provider-missing, wrong-cv-link
S45535	R	C-021: R, F needs-web
S45931	R	D-004: R, F provider-missing
S45933	R	D-004: R, F provider-missing
S47907	07	C-061: S 0.7, F wrong-cv-link
S57274	R	D-008: R, F provider-missing
S58200	R	C-059: R
S62856	R	D-008: R, F provider-missing
S63687	R	D-005: R, F provider-missing
S63893	07	C-027: S 0.7
S64135	07	C-050: S 0.7, F merge-with, misfiled
S64380	07	C-046: S 0.7, F needs-fetch
S64653	07	C-062: S 0.7, F merge-with, wrong-cv-link
S65022	R	C-028: R, F needs-web
S65136	07	C-050: S 0.7
S65459	R	C-049: R, F misfiled, provider-missing, wrong-cv-link
S65606	R	C-059: R
S65629	07	C-046: S 0.7
S65776	R	C-059: R
S66058	07	C-028: S 0.7
S66059	R	A-014: R, F provider-missing
S66347	R	C-053: R, F needs-web, wrong-cv-link
S66351	R	C-052: R, F misfiled
S66436	R	D-011: R, F provider-missing
S66448	R	D-015: R, F provider-missing
S66451	R	D-012: R, F provider-missing
S66453	R	D-004: R, F provider-missing
S66459	R	D-015: R, F provider-missing
S66477	07	R-033: S 0.7, F needs-web
S67960	R	D-013: R, F provider-missing
S68137	R	D-015: R, F provider-missing
S94614	07	C-014: S 0.7, F wrong-cv-link
S94670	07	C-053: S 0.7, F merge-with, needs-web, wrong-cv-link
S94704	07	C-050: S 0.7
S94759	R	C-028: R, F wrong-cv-link
S94770	R	C-030: R, F wrong-cv-link
S94791	R	C-049: R, F provider-missing, wrong-cv-link
S94802	07	C-051: S 0.7, F wrong-cv-link
S94804	R	C-036: R, F misfiled
S94812	R	C-051: R, F provider-missing, wrong-cv-link
S94867	07	C-015: S 0.7, F provider-missing, wrong-cv-link
S96215	R	C-030: R, F needs-web
S96500	07	C-061: S 0.7, F merge-with
S97119	07	C-063: S 0.7, F provider-missing
S97367	07	C-064: S 0.7
S97893	R	C-036: R, F needs-web
S98288	R	C-034: R, F needs-web
S98949	07	C-047: S 0.7, F merge-with, misfiled
S99973	R	C-050: R, F provider-missing
S100221	07	C-019: S 0.7
S100226	07	C-004: S 0.7, F provider-missing
S101049	07	C-036: S 0.7, F merge-with
S101469	07	C-021: S 0.7
S101519	R	C-054: R, F merge-with, wrong-cv-link
S101565	R	C-021: R, F needs-web
S101651	R	C-022: R, F needs-web
S102368	07	C-048: S 0.7
S102389	R	C-014: R, F needs-web
S102397	R	C-029: R, F needs-fetch
S102398	07	C-025: S 0.7
S102412	R	C-037: R, F needs-web, provider-missing, wrong-cv-link
S102483	R	R-065: R, F provider-missing
S102542	R	R-031: R, F provider-missing
S102550	R	R-063: R, F provider-missing
S102574	07	R-033: S 0.7, F needs-web
S102615	R	R-032: R, F provider-missing
S102617	R	R-032: R, F provider-missing
S102669	07	R-033: S 0.7, F needs-web
S102676	R	R-032: R, F provider-missing
S102723	07	R-032: S 0.7, F merge-with, needs-web
S102758	R	R-035: R, F provider-missing
S102786	R	R-034: R, F provider-missing
S103000	R	R-037: R, F provider-missing
S103001	R	R-037: R, F provider-missing
S103003	R	R-037: R, F provider-missing
S103111	R	R-038: R, F provider-missing
S103191	07	R-039: S 0.7, F needs-fetch, needs-web
S103342	07	R-041: S 0.7, F needs-web, provider-missing
S103482	R	R-043: R, F provider-missing
S103610	R	R-046: R, F provider-missing
S103611	R	R-046: R, F provider-missing
S103680	R	R-047: R, F provider-missing
S103717	R	R-047: R, F provider-missing
S103839	R	R-055: R, F provider-missing, stale-flag
