# X-041 — item pass over Space Brothers / SPRIGGAN / Spy x Family / Star Wars - Return of the Jedi /
# Star Wars: The Mandalorian: The Manga / Stellar Witch LIP☆S / Stravaganza / Summer Wars / Summit of the
# Gods / Suzuka / Sweat and Soap / the Sword Art Online family (Hollow Realization, Kiss and Fly, Phantom
# Bullet, Project Alicization, Alternative Gun Gale Online, Progressive + its three sub-lines, Re:Aincrad) /
# Talentless Nana / That Blue Summer.
# Same reused-stamp shape throughout (Space Brothers, Sweat and Soap, most SAO sub-shelves): per-file CV is
# correct per volume, per-file GCD is one book's issue id stamped shelf-wide, corrected from the stored
# series' own header pool. SPRIGGAN Deluxe Edition and Talentless Nana show per-file CV landing on a
# DIFFERENT stored volume entirely (foreign edition / Crunchyroll stub); Suzuka's per-file CV consistently
# resolves to the untranslated Japanese-original volume (45091) rather than the stored English digital
# release (95853), whose own cached issues only cover v13-18 — v01-12 take gcd-only identities off the
# 涼風 series' full 18-row list. Star Wars - Return of the Jedi carries one MISFILED book (105917, a Dark
# Horse "Dawn of the Jedi" TPB) with its own record and a C line for what it collects. Stravaganza's English
# 3-book Omnibus has no safe 1:1 mapping onto Ehapa's 7-volume German line, so it takes gcd=- per book with
# an N naming the line. SPRIGGAN's Deluxe volumes collect the 1991-1996 Japanese original (GCD 188803, 11
# issues, no page counts in the dump) but with no safe per-volume range, so no C is written; an N names it.

# Space Brothers S15949 — per-file CV correct per volume; per-file GCD stamped with a wholly different
# series (104004) throughout; the stored 109685's own 45-row list supplies the correction.
I 42319 cv=504887 gcd=1654545 0.9 | header pool v01: CV 85812#1=504887, GCD 109685#1=1654545; per-file gcd (1738157/104004) is a wholly different series, rejected
I 44017 cv=814995 gcd=2160946 0.95 | per-file cv and gcd both match header #1: CV 131543#1=814995, GCD 165775#1=2160946 (isbn 9781975317539); direct agreement
I 44018 cv=827174 gcd=2195586 0.95 | header pool #2: CV 131543#2=827174, GCD 165775#2=2195586 (isbn 9781975317553); per-file gcd (2160946) is v01's stamp, rejected

# Sword Art Online Progressive - Canon of the Golden Rule S17415 — v01 direct agreement, v02 corrected.
I 44019 cv=1050538 gcd=2682239 0.95 | per-file cv and gcd both match header #1: CV 157496#1=1050538, GCD 217064#1=2682239; direct agreement
I 44020 cv=1065475 gcd=2682240 0.95 | header pool #2: CV 157496#2=1065475, GCD 217064#2=2682240; per-file gcd (2682239) is v01's stamp, rejected

# Sword Art Online Progressive - Scherzo of Deep Night S17416 — v01 direct agreement, v02-v03 corrected.
I 44021 cv=1031597 gcd=2567773 0.95 | per-file cv and gcd both match header #1: CV 154915#1=1031597, GCD 202282#1=2567773 (isbn 9781975361099); direct agreement
I 44022 cv=1031598 gcd=2571576 0.95 | header pool #2: CV 154915#2=1031598, GCD 202282#2=2571576 (isbn 9781975361112); per-file gcd (2567773) is v01's stamp, rejected
I 44023 cv=1043897 gcd=2610217 0.95 | header pool #3: CV 154915#3=1043897, GCD 202282#3=2610217 (isbn 9781975361136); per-file gcd is the same v01 stamp, rejected

# Sword Art Online: Re:Aincrad S17418 — single book, direct agreement.
I 44024 cv=1059423 gcd=2687136 0.95 | per-file cv and gcd both match header #1: CV 158481#1=1059423, GCD 217302#1=2687136; direct agreement

# Talentless Nana S17491 — per-file cv is a Crunchyroll stub volume (165037, one uncached issue) on every
# book; the stored 108038 (the Japanese "Munou na Nana" original, matching our 2018-2020 dates) supplies
# the real per-book identity; the shelf carries no GCD leg.
I 45424 cv=654762 gcd=- 0.9 | header pool v01: CV 108038#1=654762 (2017-02-22); per-file cv (1116008/165037) is a Crunchyroll stub with no real metadata, rejected
I 45425 cv=654763 gcd=- 0.9 | header pool v02: CV 108038#2=654763 (2017-05-22); per-file cv is the same Crunchyroll stub, rejected
I 45426 cv=654764 gcd=- 0.9 | header pool v03: CV 108038#3=654764 (2018-01-22); per-file cv is the same Crunchyroll stub, rejected
I 45427 cv=693035 gcd=- 0.9 | header pool v04: CV 108038#4=693035 (2018-10-22); per-file cv is the same Crunchyroll stub, rejected
I 45428 cv=750463 gcd=- 0.9 | header pool v05: CV 108038#5=750463 (2019-07-12); per-file cv is the same Crunchyroll stub, rejected
I 45429 cv=750464 gcd=- 0.9 | header pool v06: CV 108038#6=750464 (2020-04-11); per-file cv is the same Crunchyroll stub, rejected

# That Blue Summer S17858 — per-file cv already correct per volume; no GCD leg.
I 44034 cv=732605 gcd=- 0.9 | per-file cv matches header #1 exactly (732605); shelf has no GCD leg (gcd=-)
I 44035 cv=736847 gcd=- 0.9 | per-file cv matches header #2 exactly (736847); shelf has no GCD leg (gcd=-)
I 44036 cv=744456 gcd=- 0.9 | per-file cv matches header #3 exactly (744456); shelf has no GCD leg (gcd=-)
I 44037 cv=755559 gcd=- 0.9 | per-file cv matches header #4 exactly (755559); shelf has no GCD leg (gcd=-)
I 44038 cv=762272 gcd=- 0.9 | per-file cv matches header #5 exactly (762272); shelf has no GCD leg (gcd=-)
I 44039 cv=768360 gcd=- 0.9 | per-file cv matches header #6 exactly (768360); shelf has no GCD leg (gcd=-)
I 44040 cv=781411 gcd=- 0.9 | per-file cv matches header #7 exactly (781411); shelf has no GCD leg (gcd=-)
I 44041 cv=794809 gcd=- 0.9 | per-file cv matches header #8 exactly (794809); shelf has no GCD leg (gcd=-)
