# R-152 - identity revisit of wave 147's split shelves (P-062: the Defenders / Doctor Strange / Fantastic Four / Daredevil families) plus S64767 Ghost Rider, S5304 Defenders by Fraction and S20617 Ultimate Fantastic Four Collection.
# Folder shape: Marvel\_<Family>\NN <Title> vN (<year>) run folders, with _Epic Collections / _Omnibus Editions / Trades beside them, and event-filed second rips under _Marvel Major Event Chronology and _X-Men Complete Chronology V2.
# Surprises: S64767 still holds five Ghost Rider (1990) chronology issues (#26-27, #29, #67-68, "Ghost Rider v2" = CV's Vol. 2) besides the three strays the lead named; S64591 holds the two 2023 "Doctor Strange by Mark Waid" books, which collect the 2018 run S5642 stores; C-044 wrote VOLUME ids in two Ghost Rider I lines (80257, 80223), fixed below.
# Earlier I / C lines on these books are restated (with upgrades) so this file carries every book's own record.

S 5305 cv=- gcd=106500 0.9 | the Defenders Epic Collection LINE (L-109 / L-392): GCD 106500 (Marvel 2016-?, 7 rows) holds all six of our books by volume number, subtitle and ISBN - Vol. 01 row 2468432, Vol. 02 row 2638133 (joined from S5307 / S5306 in P-062), Vol. 06-09 rows 1623796 / 1730405 / 1836098 / 2105311, each 3-8pp under print; ComicVine mints a count-1 volume per book (147058, 158646, 93423, 103812, 112801, 123717), so the line has no CV id
I 79784 cv=702465 gcd=1932002 isbn=978-1-302-91349-6 0.95 | Vol. 01 "Fourever" 112pp = CV 117447 issue 702465 ("Volume 1") = GCD 141720 #1 row 1932002 (124pp), collecting s127448 #1-4
I 79785 cv=709717 gcd=1968255 isbn=978-1-302-91350-2 0.95 | Vol. 02 "Mr. and Mrs. Grimm" 119pp = CV 119293 issue 709717 ("Volume 2") = GCD 141720 #2 row 1968255 (132pp)
I 79786 cv=719455 gcd=2130496 isbn=978-1-302-91442-4 0.95 | Vol. 03 "The Herald of Doom" 140pp = CV 121449 issue 719455 ("Volume 3") = GCD 141720 #3 row 2130496 (148pp)
I 79787 cv=740890 gcd=2180757 isbn=9781302917258 0.95 | Vol. 04 "Thing vs. Immortal Hulk" 116pp = CV 125685 issue 740890 ("Volume 4") = GCD 141720 #4 row 2180757 (124pp)
I 79788 cv=795940 gcd=2186366 isbn=9781302920326 0.95 | Vol. 05 "Point of Origin" 143pp = CV 129777 issue 795940 ("Volume 5") = GCD 141720 #5 row 2186366 (164pp)
I 79789 cv=819828 gcd=2186367 isbn=9781302920470 0.95 | Vol. 06 "Empyre" 128pp = CV 132321 issue 819828 ("Volume 6") = GCD 141720 #6 row 2186367 (148pp)
I 79790 cv=848874 gcd=2233867 isbn=978-1-302-92048-7 0.95 | Vol. 07 "The Forever Gate" 142pp = CV 136027 issue 848874 ("Volume 7") = GCD 141720 #7 row 2233867 "Forever Gate" (164pp)
I 79791 cv=892254 gcd=2273144 isbn=978-1-302-92049-4 0.95 | Vol. 08 "The Bride of Doom" 180pp = CV 139957 issue 892254 ("Volume 8") = GCD 141720 #8 row 2273144 (196pp)
I 79792 cv=910610 gcd=2372075 isbn=978-1-302-92626-7 0.95 | Vol. 09 "Eternal Flame" 157pp = CV 141836 issue 910610 ("Volume 9") = GCD 141720 #9 row 2372075 (164pp)
I 79793 cv=959185 gcd=2422605 isbn=978-1-302-93262-6 0.95 | Vol. 10 "Reckoning War Part I" 128pp = CV 146753 issue 959185 ("Volume 10") = GCD 141720 #10 row 2422605 (148pp)
I 79794 cv=955108 gcd=2447615 isbn=978-1-302-94654-8 0.95 | Vol. 11 "Reckoning War Part II" 102pp = CV 146109 issue 955108 ("Volume 11") = GCD 141720 #11 row 2447615 (116pp)

S 6482 cv=53921 gcd=69567 0.95 | Matt Fraction's Fantastic Four (2013-2014): CV 53921 (Marvel 2013, 17 incl. #5AU) and GCD 69567 (Marvel 2013-2014, 17, row 1096843 #5AU) agree on publisher, year and count; our ladder #1-16 ("07 Matt Fraction's Fantastic Four (2013)\Fantastic Four v4 (2013)", per-file GCD 69567 on 16/18) plus the Age of Ultron #5AU and the 1pp Skottie Young cover of #1 (joined from S64669 in P-062) is the whole run
F 6482 needs-fetch cv=53921 | Fantastic Four (2013) CV 53921 is still named from the local rip with no CvVolume row
N 6482 per-file CV 2045 (1961) on 16/18 files is the legacy-number trap and the round2-folder GCD 72634 (Age of Ultron) on the #5AU chronology rip is a folder stamp
I 51947 cv=367696 gcd=1032633 isbn=- 0.9 | "Fantastic Four 01 (2013) (Skottie Young Variant Cover) (Ghosts-Novus-H" 1pp is 1pp Skottie Young variant cover of Fantastic Four (2013) #1: CV 53921 #1 issue 367696 and GCD 69567 #1 row 1032633 - the per-file links were cv 2045 / gcd 69567

S 6517 cv=112949 gcd=127952 0.95 | the "Fantastic Four by Jonathan Hickman: The Complete Collection" LINE: CV 112949 (Marvel 2018, 4 = "Volume 1-4") and GCD 127952 (Marvel 2018-?, 4 rows 1838445 / 2146404 / 2229427 / 2481449) agree, and our four books are Book 01-04 volume for volume (Book 02 joined from S64669 in P-062); the line spans Fantastic Four 1998, Dark Reign: FF, FF 2011 and Fantastic Four 2012, so it is its own identity (L-109) and each book names its runs on C lines
I 79739 cv=680726 gcd=1838445 isbn=978-1-302-91336-6 0.95 | Book 01 (347pp) = CV 112949 #1 issue 680726 = GCD 127952 #1 row 1838445 (388pp)
C 79739 cv=6211 gcd=11218 #570-578 0.95 | Book 01 reprints Fantastic Four (Marvel 1998-2011, legacy #570-588 era; CV 6211 caches #570 "Solve Everything" .. #578) #570-578 per GCD row 1838445
C 79739 cv=25905 gcd=34456 #1-5 0.95 | Book 01 reprints Dark Reign: Fantastic Four (Marvel 2009, 5 issues; CV 25905 / GCD 34456) #1-5 per GCD row 1838445
I 79740 cv=717539 gcd=2146404 isbn=978-1-302-91963-4 0.95 | "Fantastic Four by Jonathan Hickman - The Complete Collection Book 02 (2019)" 416pp = CV 112949 #2 issue 717539 "Volume 2" and GCD 127952 #2 row 2146404 (436pp, 2019-08-28) - the GCD row R-149 could not see
C 79740 cv=6211 gcd=11218 #579-588 0.95 | Book 02 collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #579-588 per GCD row 2146404's note, following Book 01's #570-578
C 79740 cv=39453 gcd=56740 #1-5 0.95 | Book 02 also collects FF (Marvel 2011-2012, 23 issues; CV 39453 / GCD 56740) #1-5 per GCD row 2146404's note
I 79741 cv=848876 gcd=2229427 isbn=978-1-302-92668-7 0.95 | Book 03 (2021) 450pp = CV 112949 #3 issue 848876 ("Volume 3", 2021-05) = GCD 127952 #3 row 2229427 (484pp)
C 79741 cv=39453 gcd=56740 #6-16 0.95 | Book 03 reprints FF (Marvel 2011-2012, 23 issues; CV 39453 / GCD 56740) #6-16 per GCD row 2229427's notes and reprint roll-up
C 79741 cv=6211 gcd=62349 #600-604 0.95 | Book 03 reprints Fantastic Four #600-604 (Marvel 2012; GCD 62349, and CV 6211 which carries the legacy #600-611) per GCD row 2229427
I 79742 cv=965239 gcd=2481449 isbn=978-1-302-93358-6 0.95 | Book 04 (2023) 350pp = CV 112949 #4 issue 965239 ("Volume 4", 2023-01) = GCD 127952 #4 row 2481449 (372pp)
C 79742 cv=6211 gcd=62349 #605-611 0.9 | Book 04 reprints Fantastic Four (2012) #605, #605.1, #606-611 (GCD 62349; CV 6211 caches #611 "Foundation") per GCD row 2481449
C 79742 cv=39453 gcd=56740 #17-23 0.95 | Book 04 reprints FF (Marvel 2011-2012, 23 issues; CV 39453 / GCD 56740) #17-23 per GCD row 2481449

S 104180 cv=10379 gcd=11256 0.95 | Ultimate Fantastic Four (2004-2009): CV 10379 (Marvel 2004, 60, cached #1-60) and GCD 11256 (Marvel 2004-2009, 60) agree on publisher, span and count; our "06 / 08 / 12 Ultimate Fantastic Four 058-060 (2009)" (Ultimatum folder, 23-25pp) are the run's last three issues
F 104180 merge-with=20617 | S20617 (the five "Ultimate Fantastic Four Collection" books judged #1-57 of this run) stores the same CV 10379 (S line A-025, restated below); issues of the run meet its trade-keyed shelf through the shared cv (L-389)

S 64669 cv=2045 gcd=1482 0.9 | Fantastic Four (1961-1996): CV 2045 (Marvel 1961, 416, cached #1-416) and GCD 1482 (Marvel 1961-1996, 416) agree on publisher, span and count; our ladder #1-416 fills it (folder "01 Fantastic Four v1 (1961)", ComicInfo Count 416 x2, per-file CV 2045 on 452/459, GCD 1482 on 448/459), the 30 doubled numbers are X-Men Complete / Major Event Chronology second rips, and the run's own books cost nothing - Fantastic Four Omnibus Books 01-04 (CV 34278 / GCD 14052) and John Byrne Omnibus Books 01-02 (a creator line reprinting ONE run, L-395); every later-run stray left in P-062; 0.9 for the 2018 No. 1 Facsimile Edition, its own book (L-077)
N 64669 flag #239 (label-ambiguous, item 98865) is right: "032 - Fantastic Four v1 338" (Death's Head folder, 23pp) is a single issue, a second rip of #338. The per-file GCD 118193 (National Book Store, Philippines) on 3 files is a foreign number stamp
I 79605 cv=302181 gcd=898611 isbn=978-0-7851-5824-0 0.95 | "Fantastic Four by John Byrne Omnibus Book 01 (2022, 3rd edition)" 1083pp = CV 43976 #1 issue 302181 "Volume 1" and GCD 62174 #1 row 898611 (1104pp)
C 79605 cv=2045 gcd=1482 #232-260 0.95 | Book 01 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #232-260, the start of Byrne's writer-artist run, per GCD row 898611's notes and roll-up
N 79605 also collects Fantastic Four #204 and #209-221 (the Byrne-pencilled stretch before the gap) plus Annual #17, Marvel Team-Up #61-62, Marvel Two-in-One #50 and Official Handbook of the Marvel Universe (1983) pages
I 79606 cv=435863 gcd=1166038 isbn=- 0.9 | "Fantastic Four by John Byrne Omnibus Book 02 (2023)" 1208pp = CV 43976 #2 issue 435863 "Volume 2" and GCD 62174 #2 row 1166038 (roll-up s1482 #1, #261-295, #358)
C 79606 cv=2045 gcd=1482 #261-295 0.95 | Byrne Omnibus Book 02 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #261-295 per GCD row 1166038's roll-up (78 stories) and the judged range
I 79607 cv=223627 gcd=2215978 isbn=- 0.9 | "Fantastic Four Omnibus Book 01 (2018, 3rd edition)" 839pp = CV 34278 #1 issue 223627 "Volume One" and GCD 14052's third-printing row 2215978 (848pp; the 2005 first printing is row 246583)
I 79608 cv=223683 gcd=2250963 isbn=- 0.9 | "Fantastic Four Omnibus Book 02 (2021, 3rd edition)" 825pp = CV 34278 #2 issue 223683 "Volume Two" and GCD 14052's 2021 printing row 2250963 (832pp; note: FF #31-60 + Annual #2-4)
I 79609 cv=487393 gcd=2260723 isbn=- 0.9 | "Fantastic Four Omnibus Book 03 (2021, 2nd edition)" 945pp = CV 34278 #3 issue 487393 "Volume Three" and GCD 14052's 2021 printing row 2260723 (960pp; the 2015 first printing is row 1343221)
I 79610 cv=884481 gcd=2260762 isbn=978-1-302-93050-9 0.95 | "Fantastic Four Omnibus Book 04 (2021)" 809pp = CV 34278 #4 issue 884481 "Volume Four" and GCD 14052 #4 row 2260762 (820pp; roll-up s1482 #94-125)
I 83045 cv=682655 gcd=1841554 isbn=- 0.95 | "Fantastic Four 001 - Facsimile Edition (1961)" 52pp = CV 113068 "Fantastic Four No. 1 Facsimile Edition" issue 682655 (2018) and GCD 128416 "Fantastic Four #1 Facsimile Edition" row 1841554 (2018-08-29, 52pp - an exact page match) - replaces the per-file CV 2045 #1 / GCD 1482 #1 links to the original

S 104174 cv=67987 gcd=78377 0.95 | the "Fantastic Four by Jonathan Hickman Omnibus" LINE: CV 67987 (Marvel 2013, 2 = Volume 1-2) and GCD 78377 (Marvel 2013-2014, 2 rows 1172528 / 2275237) agree on publisher, year and count; our three files are Book 01 twice (79743 / 79882, 736pp each) and Book 02 (79883, 783pp), ComicInfo Series "Fantastic Four by Jonathan Hickman Omnibus" x2; the omnibus spans Fantastic Four 1998, Dark Reign: FF, FF 2011 and Fantastic Four 2012, so it is its own identity (L-109) with C lines per run
N 104174 flag #240 (label-ambiguous, item 79743) is right about Book 01: 79743 and 79882 are two rips of it; its "79883/79744" pair names an item (79744) no longer here - 79883 is the only Book 02. A Matched SeriesKeyLink "Fantastic Four by Jonathan Hickman Omnibus" -> cv 67987 had no owner before this shelf
I 79743 cv=427869 gcd=1172528 isbn=978-0-7851-6566-8 0.9 | "Fantastic Four By Jonathan Hickman Omnibus Book 01 (2022)" 736pp = CV 67987 #1 issue 427869 "Volume 1" and GCD 78377 #1 row 1172528 (804pp, the 2013 first printing; ours is a 2022 printing)
C 79743 cv=6211 gcd=11218 #570-588 0.95 | Omnibus Book 01 collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #570-588 per GCD row 1172528's roll-up (20 stories)
C 79743 cv=39453 gcd=56740 #1-5 0.95 | Omnibus Book 01 also collects FF (Marvel 2011-2012, 23 issues; CV 39453 / GCD 56740) #1-5 per GCD row 1172528's roll-up
C 79743 cv=25905 gcd=34456 #1-5 0.95 | Omnibus Book 01 also collects Dark Reign: Fantastic Four (Marvel 2009, 5 issues; CV 25905 / GCD 34456) #1-5 per GCD row 1172528's roll-up
I 79882 cv=427869 gcd=1172528 isbn=978-0-7851-6566-8 0.9 | second rip of Omnibus Book 01 (2022, Kileko-Empire) 736pp = CV 67987 #1 issue 427869 and GCD 78377 #1 row 1172528 (804pp)
C 79882 cv=6211 gcd=11218 #570-588 0.95 | the second rip of Omnibus Book 01 collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #570-588 per GCD row 1172528's roll-up
C 79882 cv=39453 gcd=56740 #1-5 0.95 | the second rip of Book 01 also collects FF (Marvel 2011-2012, 23 issues; CV 39453 / GCD 56740) #1-5 per GCD row 1172528
C 79882 cv=25905 gcd=34456 #1-5 0.95 | the second rip of Book 01 also collects Dark Reign: Fantastic Four (Marvel 2009, 5 issues; CV 25905 / GCD 34456) #1-5 per GCD row 1172528
I 79883 cv=469682 gcd=2275237 isbn=978-0-7851-8900-8 0.9 | "Fantastic Four by Jonathan Hickman Omnibus Book 02 (2022)" 783pp = CV 67987 #2 issue 469682 "Volume 2" and GCD 78377 #2 row 2275237 (836pp, the 2014 first printing)
C 79883 cv=39453 gcd=56740 #6-23 0.95 | Omnibus Book 02 collects FF (Marvel 2011-2012, 23 issues; CV 39453 / GCD 56740) #6-23 per GCD row 2275237's roll-up (18 stories)
C 79883 gcd=62349 #600-611 0.9 | Omnibus Book 02 also collects Fantastic Four (Marvel 2012, GCD 62349, 13 issues incl. #605.1) #600-611 per GCD row 2275237's roll-up (14 stories)

S 6490 cv=32296 gcd=62442 0.95 | the six-volume TPB LINE "Fantastic Four by Jonathan Hickman": CV 32296 (Marvel 2010, 6, cached #1-6) and GCD 62442 (Marvel 2010-2013, 6, rows 900724-900727 / 1041888 / 1095150) agree on publisher, span and count, and our Vol. 01-06 are those six books volume for volume (judged #570-574 .. #605-611); the line spans Fantastic Four 1998 (#570-588) and Fantastic Four 2012 (#600-611), so it is its own identity (L-109); the omnibus books left for S104174 in P-062
N 6490 GCD also keeps a twin 156184 "Fantastic Four by Jonathan Hickman" (2010-2012, 6) that each roll-up names as a 1-story reprint - the printing twin, not a different line
I 79729 cv=202822 gcd=900724 isbn=978-0-7851-3688-0 0.95 | "02 Fantastic Four By Jonathan Hickman Vol. 01 (2010)" 130pp = CV 32296 #1 issue 202822 and GCD 62442 #1 row 900724 (144pp; note: FF 1998 #570-574)
C 79729 cv=6211 gcd=11218 #570-574 0.95 | Vol. 01 collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #570-574 per GCD row 900724's note
I 79730 cv=242798 gcd=900725 isbn=978-0-7851-4541-7 0.95 | "03 ... Vol. 02 (2011)" 105pp = CV 32296 #2 issue 242798 and GCD 62442 #2 row 900725 (112pp; #575-578)
C 79730 cv=6211 gcd=11218 #575-578 0.95 | Vol. 02 collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #575-578 per GCD row 900725's note
I 79731 cv=242811 gcd=900726 isbn=978-0-7851-4718-3 0.95 | "04 ... Vol. 03 (2011)" 106pp = CV 32296 #3 issue 242811 and GCD 62442 #3 row 900726 (116pp; #579-582)
C 79731 cv=6211 gcd=11218 #579-582 0.95 | Vol. 03 collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #579-582 per GCD row 900726's roll-up
I 79732 cv=269672 gcd=900727 isbn=978-0-7851-5143-2 0.95 | "05 ... Vol. 04 (2011)" 168pp = CV 32296 #4 issue 269672 and GCD 62442 #4 row 900727 (188pp; #583-588)
C 79732 cv=6211 gcd=11218 #583-588 0.95 | Vol. 04 collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #583-588 per GCD row 900727's roll-up
I 79735 cv=346115 gcd=1041888 isbn=978-0-7851-6153-0 0.95 | "08 ... Vol. 05 (2013)" 198pp = CV 32296 #5 issue 346115 and GCD 62442 #5 row 1041888 (212pp; FF 2012 #600-604)
C 79735 gcd=62349 #600-604 0.95 | Vol. 05 collects Fantastic Four (Marvel 2012, GCD 62349, 13 issues - the #600-611 run GCD keeps apart) #600-604 per GCD row 1041888's roll-up
I 79737 cv=378726 gcd=1095150 isbn=978-0-7851-6155-4 0.95 | "10 ... Vol. 06 (2013)" 181pp = CV 32296 #6 issue 378726 and GCD 62442 #6 row 1095150 (188pp; FF 2012 #605-611)
C 79737 gcd=62349 #605-611 0.95 | Vol. 06 collects Fantastic Four (Marvel 2012, GCD 62349, 13 issues) #605-611 (with #605.1) per GCD row 1095150's roll-up

S 6495 cv=- gcd=79136 0.9 | the Fantastic Four Epic Collection LINE (L-109 / L-392): GCD 79136 (Marvel 2014-?, 22 rows) holds all fifteen of our books Vol. 01-04, 06-10, 17, 20, 22-25 by volume number, subtitle and ISBN (each within 17pp of print; Vol. 06-10 and 25 joined from S6496-S6501 in P-062); every book reprints a stretch of Fantastic Four (1961, CV 2045 / GCD 1482) with annuals and crossovers, and ComicVine mints a count-1 volume per book, so no CV line id
N 6495 Epic Collections are kept as LINES pending Eric's open question. P-063 joins Vol. 05, 18, 19 and 21 here from S6504 / S6503 / S6502 / S6505
I 79795 cv=465346 gcd=1205396 isbn=978-0-7851-8832-2 0.95 | "Fantastic Four Epic Collection Vol. 01 - The World's Greatest Comic Magazine (2014)" 439pp = CV 76910 issue 465346 "Volume 1" and GCD 79136 #1 row 1205396 (456pp) - replaces the CV 111826 stamp
C 79795 cv=2045 gcd=1482 #1-18 0.95 | Vol. 01 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #1-18 per GCD row 1205396's roll-up (89 stories) and the judged range
I 79796 cv=605114 gcd=1718663 isbn=978-1-302-90435-7 0.95 | "Vol. 02 - The Master Plan of Doctor Doom (2017)" 448pp = CV 102458 issue 605114 "Volume 2" and GCD 79136 #2 row 1718663 (452pp)
C 79796 cv=2045 gcd=1482 #19-32 0.95 | Vol. 02 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #19-32 per GCD row 1718663's roll-up, plus Annual #1-2
I 79797 cv=678533 gcd=1830981 isbn=978-1-302-91331-1 0.95 | "Vol. 03 - The Coming of Galactus (2018)" 450pp = CV 112582 issue 678533 "Volume 3" and GCD 79136 #3 row 1830981 (452pp)
C 79797 cv=2045 gcd=1482 #33-51 0.95 | Vol. 03 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #33-51 per GCD row 1830981's roll-up, plus Annual #3
I 79798 cv=716956 gcd=2015196 isbn=978-1-302-91556-8 0.95 | "Vol. 04 - The Mystery of the Black Panther (2019)" 448pp = CV 120815 issue 716956 "Volume 4" and GCD 79136 #4 row 2015196 (452pp)
C 79798 cv=2045 gcd=1482 #52-67 0.95 | Vol. 04 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #52-67 per GCD row 2015196's note, plus Annual #4-5
I 79800 cv=814968 gcd=2164079 isbn=978-1-302-92202-3 0.95 | "Fantastic Four Epic Collection Vol. 06 - At War With Atlantis (2020)" 408pp = CV 131537 issue 814968 "Volume 6" and GCD 79136 #6 row 2164079 (420pp)
C 79800 cv=2045 gcd=1482 #88-104 0.95 | Vol. 06 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #88-104 per GCD row 2164079's note, plus The Lost Adventure #1 and Annual #7
I 79801 cv=882695 gcd=2257108 isbn=978-1-302-92913-8 0.95 | "Fantastic Four Epic Collection Vol. 07 - Battle of the Behemoths (2021)" 472pp = CV 138613 issue 882695 "Volume 7" and GCD 79136 #7 row 2257108 (476pp)
C 79801 cv=2045 gcd=1482 #105-125 0.95 | Vol. 07 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #105-125 per GCD row 2257108's roll-up (22 stories)
I 79802 cv=945892 gcd=2428300 isbn=978-1-302-93359-3 0.95 | "Fantastic Four Epic Collection Vol. 08 - Annihilus Revealed (2022)" 498pp = CV 144900 issue 945892 "Volume 8" and GCD 79136 #8 row 2428300 (508pp)
C 79802 cv=2045 gcd=1482 #126-146 0.95 | Vol. 08 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #126-146 per GCD row 2428300's roll-up; #1 and #73 on the N
N 79802 the roll-up also names Fantastic Four #1 and #73 (reprint back-ups), outside the #126-146 stretch
I 79803 cv=1011152 gcd=2564754 isbn=978-1-302-94875-7 0.95 | "Fantastic Four Epic Collection Vol. 09 - The Crusader Syndrome (2023)" 512pp = CV 153272 issue 1011152 "Volume 9" and GCD 79136 #9 row 2564754 (524pp)
C 79803 cv=2045 gcd=1482 #147-167 0.95 | Vol. 09 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #147-167 per GCD row 2564754's note, plus Giant-Size Fantastic Four #2-4 and Avengers #127
I 79804 cv=1071859 gcd=2658825 isbn=978-1-302-95544-1 1.0 | "Fantastic Four Epic Collection Vol. 10 - Counter-Earth Must Die (2024)" 512pp: ComicInfo Web 1071859 = CV 160126 issue 1071859 "Volume 10", and GCD 79136 #10 row 2658825 (516pp) agrees
C 79804 cv=2045 gcd=1482 #168-191 0.95 | Vol. 10 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #168-191 per GCD row 2658825's roll-up (26 stories)
I 79805 cv=442431 gcd=1180517 isbn=978-0-7851-8865-0 0.95 | "Vol. 17 - All in the Family (2014)" 488pp = CV 70951 issue 442431 "Volume 17" and GCD 79136 #17 row 1180517 (500pp)
C 79805 cv=2045 gcd=1482 #296-307 0.95 | Vol. 17 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #296-307 per GCD row 1180517's roll-up, plus FF vs. X-Men #1-4 and Annual #20
I 79808 cv=460713 gcd=1180518 isbn=978-0-7851-8895-7 0.95 | "Vol. 20 - Into the Timestream (2014)" 517pp = CV 76010 issue 460713 "Volume 20" and GCD 79136 #20 row 1180518 "Into the Time Stream" (508pp)
C 79808 cv=2045 gcd=1482 #334-346 0.95 | Vol. 20 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #334-346 per GCD row 1180518's roll-up (27 stories), plus Annual #23
I 79810 cv=892255 gcd=2275039 isbn=978-1-302-93236-7 0.95 | "Vol. 22 - This Flame, This Fury (2022)" 489pp = CV 139958 issue 892255 "Volume 22" and GCD 79136 #22 row 2275039 (500pp)
C 79810 cv=2045 gcd=1482 #362-376 0.95 | Vol. 22 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #362-376 per GCD row 2275039's roll-up and the judged range
I 79811 cv=934693 gcd=2372321 isbn=978-1-302-93447-7 0.95 | "Vol. 23 - Nobody Gets Out Alive (2022)" 491pp = CV 143901 issue 934693 "Volume 23" and GCD 79136 #23 row 2372321 (508pp)
C 79811 cv=2045 gcd=1482 #377-392 0.95 | Vol. 23 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #377-392 per GCD row 2372321's roll-up and the judged range
I 79812 cv=1048848 gcd=2616793 isbn=978-1-302-95639-4 0.95 | "Vol. 24 - Atlantis Rising (2024)" 467pp = CV 157337 issue 1048848 "Volume 24" and GCD 79136 #24 row 2616793 (484pp)
C 79812 cv=2045 gcd=1482 #393-402 0.95 | Vol. 24 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #393-402 per GCD row 2616793's roll-up and the judged range
N 79813 the judged range #347-358 is wrong (0 of 1 fit): Strange Days is the line's LAST 1961-run volume and GCD row 1309965 rolls up Fantastic Four #403-416; the C line below restates it and supersedes the X- pass's #347-358
I 79813 cv=489318 gcd=1309965 isbn=978-0-7851-9295-4 0.95 | "Fantastic Four Epic Collection Vol. 25 - Strange Days (2015)" 450pp = CV 82103 issue 489318 "Volume 25" and GCD 79136 #25 row 1309965 (476pp)
C 79813 cv=2045 gcd=1482 #403-416 0.95 | Vol. 25 collects Fantastic Four (Marvel 1961-1996, 416 issues; CV 2045 / GCD 1482) #403-416 per GCD row 1309965's roll-up, plus The Legend #1 and Onslaught: Marvel #1

S 64501 cv=2190 gcd=1636 0.9 | Daredevil (1964-1998): CV 2190 (Marvel 1964, 381 = #-1, #1-380, cached) and GCD 1636 (Marvel 1964-1998, 381) agree on publisher, span and count; our ladder #1-380 plus #-1 (ComicInfo Volume 1964 x90, Count 380 x4; per-file CV 2190 on 407/427, GCD 1636 on 381/427) fills it, the 33 doubled numbers are Complete / Major Event Chronology second rips, and the run's own books cost nothing - Daredevil Omnibus Books 01 (twice), 02, 03 (s1636 #1-41 / #42-74 / #75-119) and the Miller & Janson Vol. 01-03, 2007 Omnibus and Omnibus Companion (a creator line reprinting ONE run, L-395; all now here after P-062); 0.9 for the Daredevil Annual 1967-1994 files (#1, 4-10 and the "Annual 04b" second rip; CV 2351 / GCD 1808, no annual shelf, L-391) and the 2023 No. 183 Facsimile Edition
N 64501 flags #211 (label-ambiguous, item 47980) and #212 (item 116397) are right: 46978 / 47980 are two copies of Daredevil Omnibus Book 01 (1082pp each) and "Daredevil v1 001" is a single issue; #5 (arithmetic-odd) and #713 (span-retracted) on 46976 are right too - LOCG's #1-191 was an aggregate, GCD row 1099438 gives #158-161 and #163-191
I 46976 cv=294024 gcd=1099438 isbn=0-7851-2343-1 1.0 | "Daredevil by Frank Miller and Klaus Janson Omnibus 001 (2007)" 824pp: ComicInfo Web 294024 = CV 43101 issue 294024 "HC", and GCD 68581 row 1099438 (2007-03-07, 848pp, ISBN 0-7851-2343-1) agrees - replaces the stored row 1106834 (the line's Vol. 1, 340pp)
C 46976 cv=2190 gcd=1636 #163-191 0.95 | the Omnibus collects Daredevil (Marvel 1964-1998, 381 issues; CV 2190 / GCD 1636) #163-191 per GCD row 1099438's roll-up (71 stories), plus #158-161 (N)
N 46976 the Omnibus also collects Daredevil (1964) #158-161; #162 (a fill-in) is absent, so the range is stated as #163-191 with #158-161 here
I 46977 cv=127432 gcd=1099439 isbn=978-0-7851-2676-8 0.9 | "Daredevil by Frank Miller Omnibus Companion (2023, 3rd edition)" 596pp = CV 21192 issue 127432 and GCD 68583 row 1099439 (616pp, 2007) - the 2007 book's record; the 2023 third printing has no row of its own, so 0.9
C 46977 cv=2190 gcd=1636 #226-233 0.95 | the Companion collects Daredevil (Marvel 1964-1998, 381 issues; CV 2190 = GCD 1636) #219 and #226-233 (Born Again) per GCD row 1099439's roll-up; the larger stretch #226-233 is stated here, #219 on an N
C 46977 cv=5000 gcd=4683 #1-5 0.95 | the Companion also collects Daredevil: The Man Without Fear (Marvel 1993-1994, 5 issues; CV 5000 = GCD 4683) #1-5 per GCD row 1099439's roll-up
